id;name;publisher;region;languages;group;imagesize;serial;titleid;imgcrc;filename;releasename;trimmedsize;firmware;type;card
1399;Sonic The Hedgehog 3D;SEGA;EUR;en;PoWeRUp;1024;CTR-JHJP;00040000000DB500;68D4BFC0;pwr-s3d;SonicTheHedgehog3DeShopEUR3DS-PoWeRUp;9461760;500E;4;1
1400;Jett Rocket II - The Wrath of Taikai;Shinen Multimedia;EUR;en,fr,de,es;ABSTRAKT;1024;CTR-JRSP;0004000000079600;81BF9701;as-jr2;Jett_Rocket_2_The_Wrath_of_Taikai_3DS-ABSTRAKT;76804096;510E;4;1
1401;My First Songs;Ringzero Game Studio;USA;en;PoWeRUp;4096;CTR-KMSE;0004000000142000;6DDB43EE;pwr-mfs;MyFirstSongseShopUSANFOFIX3DS-PoWeRUp;288362496;720U;4;1
1402;2048;GameOn;EUR;en,fr,de,it,es;XPA;1024;CTR-JFEP;0004000000143D00;CB4D4440;xpa-2048;2048_EUR_eShop_3DS-XPA;3387392;510E;4;1
1403;3D Altered Beast;SEGA;USA;en;XPA;1024;CTR-JA7E;00040000000D9D00;718AF82B;xpa-3dab;3D_Altered_Beast_USA_eShop_3DS-XPA;12312576;510U;4;1
1404;3D Classics - Urban Champion;Nintendo;USA;en;XPA;1024;CTR-SADE;0004000000054500;E6416521;xpa-3duc;3D_Classics_Urban_Champion_USA_eShop_3DS-XPA;16031744;200U;4;1
1405;3D Ecco the Dolphin;SEGA;USA;en;XPA;1024;CTR-JDLE;00040000000D9E00;2B532B66;xpa-3ded;3D_Ecco_the_Dolphon_USA_eShop_3DS-XPA;14311424;510U;4;1
1406;3D Space Harrier;SEGA;USA;en;XPA;1024;CTR-JSHE;00040000000C0C00;693F3D4E;xpa-3dsh;3D_Space_Harrier_USA_eShop_3DS-XPA;12062720;510U;4;1
1407;3D Super Hang-On;SEGA;USA;en;XPA;1024;CTR-JHAE;00040000000C0D00;9A6A0D6D;xpa-3sho;3D_Super_Hang-on_USA_eShop_3DS-XPA;7475200;510U;4;1
1408;Ikachan;Nicalis, Inc;USA;en;XPA;1024;CTR-JKCE;00040000000C4300;91DAD851;xpa-ikch;Ikachan_USA_eShop_3DS-XPA;1490944;300U;4;1
1409;Super Mario Bros 2;Nintendo;USA;en;XPA;1024;CTR-TBME;00040000000A6200;5333FA34;xpa-smb2;Super_Mario_Bros_2_USA_eShop_3DS-XPA;6852608;510U;4;2
1410;Super Mario Bros - Lost Levels;Nintendo;USA;en;XPA;1024;CTR-TATE;0004000000094E00;63F8862A;xpa-smll;Super_Mario_Bros_Lost_Levels_USA_eShop_3DS-XPA;6385664;300U;4;2
1411;Penguins of Madagascar;Little Orbit;EUR;en,fr,de,it,es;ABSTRAKT;1024;CTR-BPGP;0004000000146300;4C9FB81C;as-pomg;Penguins_of_Madagascar_EUR_MULTi5_3DS-ABSTRAKT;114704384;720E;1;1
1412;Toy Stunt Bike;Wobbly Tooth;EUR;en;XPA;1024;CTR-JTVP;000400000012CC00;BEC499FC;xpa-tsbi;Toy_Stunt_Bike_EUR_eShop_3DS-XPA;53383168;700E;4;1
1413;Aero Porter;Level 5;USA;en;XPA;1024;CTR-JAPE;00040000000BC000;4F274A94;xpa-aepo;Aero_Porter_USA_eShop_3DS-XPA;34156544;300U;4;1
1414;Battleminer;Wobbly Tooth;USA;en;ABSTRAKT;2048;CTR-KBME;000400000014C900;1B9E4B96;as-blmer;Battleminer_3DS-ABSTRAKT;142286848;700U;4;1
1415;Dededes Drum Dash Deluxe;Nintendo;USA;en;VENOM;1024;CTR-JVQE;0004000000147A00;39A78624;v-deddd;Dededes_Drum_Dash_Deluxe_eShop_3DS-VENOM;60821504;510U;4;1
1416;Squids Odyssey;The Game Bakers;USA;en;VENOM;2048;CTR-JCJE;000400000010E900;4BE56179;v-sqody;Squids_Odyssey_eShop_3DS-VENOM;187011072;700U;4;1
1417;Quell Reflect;CIRCLE Entertainment;USA;en;VENOM;1024;CTR-JRYE;0004000000119700;7637B182;v-qure;Quell_Reflect_eShop_3DS-VENOM;71618560;510U;4;1
1418;1001 Spikes;Nicalis, Inc;USA;en;VENOM;1024;CTR-JSKE;000400000008FE00;7D2E75E2;v-1001s;1001_Spikes_eShop_3DS-VENOM;64610304;510U;4;1
1419;Sengoku Musou Chronicle 3;Koei Tecmo Games;JPN;ja;HR;32768;CTR-BC4J;000400000014DF00;ED083806;kirin-z5c3j;Sengoku_Musou_Chronicle_3_JPN_3DS-Kirin;3017056256;810J;1;1
1420;Aikatsu! 365 Nichi no Idol Days;Bandai Namco Games;JPN;ja;HR;4096;CTR-BA3J;000400000014E000;992E49C5;hr-aikatsu3;Aikatsu_365-nichi_no_Idol_Days_JPN_3DS-HR;490557440;810J;1;1
1421;Derby Stallion Gold;Kadokawa Games;JPN;ja;HR;1024;CTR-BDSJ;00040000000F9B00;DA8ACBD9;hr-derby;Derby_Stallion_Gold_JPN_3DS-HR;121135104;810J;1;1
1422;Cubit The Hardcore Platformer Robot;CoderChild;USA;en;VENOM;1024;CTR-JQ7E;0004000000112300;BC0B9D8D;v-qthpr;Cubit_The_Hardcore_Platformer_Robot_eShop_3DS-VENOM;22654976;510U;4;1
1423;WRC - FIA World Rally Championship The Official Game;Bigben Interactive;EUR;en,fr,de,it,es;ABSTRAKT;2048;CTR-BWRP;0004000000149300;2B3B83F7;as-wrc;WRC_2014_3DS-ABSTRAKT;256360448;810E;1;1
1424;Chain Blaster;G-Style;USA;en;VENOM;1024;CTR-JCBE;00040000000DCC00;95C036F7;v-chbl;Chain_Blaster_eShop_3DS-VENOM;21090304;500U;4;1
1425;Family Bowling 3D;Arc System Works;USA;en;VENOM;1024;CTR-JBWE;00040000000AE800;A9705876;v-fb3d;Family_Bowling_3D_eShop_3DS-VENOM;56193024;500U;4;1
1426;Marvel Pinball 3D;Zen Studios;USA;en;VENOM;1024;CTR-JMVE;000400000008E300;9568DCBE;v-marpin;Marvel_Pinball_3D_eShop_3DS-VENOM;79106048;300U;4;1
1427;Youkai Watch 2 - Shinuchi;Level 5;JPN;ja;Caravan;16384;CTR-BYSJ;0004000000155100;9CB389B9;cvn-yw2shinuch;Youkai_Watch_2_Shinuchi_JPN_3DS-Caravan;1951395840;810J;1;1
1428;Ultimate NES Remix;Nintendo;USA;en,fr,es;ABSTRAKT;2048;CTR-BFRE;0004000000132000;94B6E477;as-unes;Ultimate_NES_Remix_USA_3DS-ABSTRAKT;146997248;810U;1;1
1429;Bike Rider DX2 Galaxy;Spicysoft Corporation;USA;en;VENOM;1024;CTR-JGYE;0004000000128600;810A5671;v-brdg;Bike_Rider_DX2_Galaxy_eShop_3DS-VENOM;101376000;510U;4;1
1430;Alien On The Run;G-Style;USA;en;VENOM;1024;CTR-JJAE;0004000000127600;E4EB5EA2;v-aotr;Alien_On_The_Run_eShop_3DS-VENOM;20516864;510U;4;1
1431;Mahjong 3D - Essentials;REVA Entertainment GmbH;USA;en;VENOM;1024;CTR-JAXE;00040000000F2B00;7296132C;v-maj3de;Mahjong_3D_Essentials_eShop_3DS-VENOM;68739072;510U;4;1
